Chapter,Total Chapter Size,New Member Class Size,Total Chapter GPA,New Member GPA,Total Service Hours,Average Hours Per Member,Charitable Donations,Annual Report Score,Star Ranking,Chapter Type,Semester,simulated_dates
Theta Chi,97,21,3.177,2.833,487,5,500,,,Interfraternity Council,F19,9/1/2019
Tau Kappa Epsilon,33,33,3.044,3.044,0,0,0,,,Interfraternity Council,F19,9/1/2019
Tau Epsilon Phi,18,2,2.565,1.484,140,7.8,0,,,Interfraternity Council,F19,9/1/2019
Sigma Pi,17,1,2.927,,360,21.1,388,,,Interfraternity Council,F19,9/1/2019
Sigma Beta Rho,12,3,3.304,3.052,221,18.4,0,,,Interfraternity Council,F19,9/1/2019
Sigma Alpha Mu,38,7,3.154,2.91,111,2.9,0,,,Interfraternity Council,F19,9/1/2019
Chi Phi,65,18,3.073,2.644,0,0,0,,,Interfraternity Council,F19,9/1/2019
Sigma Alpha Epsilon,49,8,3.136,3.127,0,0,0,,,Interfraternity Council,F19,9/1/2019
Pi Kappa Phi,70,19,2.981,2.915,0,0,0,,,Interfraternity Council,F19,9/1/2019
Pi Kappa Alpha,68,13,2.877,2.388,441,6.4,1054,,,Interfraternity Council,F19,9/1/2019
Phi Mu Delta,18,4,3.23,3.311,161,8.9,0,,,Interfraternity Council,F19,9/1/2019
Phi Kappa Tau,43,9,3.147,2.924,0,0,0,,,Interfraternity Council,F19,9/1/2019
Phi Kappa Psi,64,12,3.202,2.834,297,4.6,345,,,Interfraternity Council,F19,9/1/2019
Phi Gamma Delta,35,4,2.902,2.75,222.7,6.3,0,,,Interfraternity Council,F19,9/1/2019
Delta Upsilon,45,10,2.961,2.198,0,0,0,,,Interfraternity Council,F19,9/1/2019
Delta Phi,29,0,3.015,,0,0,0,,,Interfraternity Council,F19,9/1/2019
Delta Chi,27,6,2.909,2.972,0,0,0,,,Interfraternity Council,F19,9/1/2019
Pi Lambda Phi,23,6,2.977,2.952,160,7,0,,,Interfraternity Council,F19,9/1/2019
Theta Delta Chi,16,0,2.878,,0,0,0,,,Interfraternity Council,F19,9/1/2019
Phi Alpha Delta,28,13,3.584,3.445,,,860,,,Professional Fraternity Council,F19,9/1/2019
Lambda Kappa Sigma,40,4,3.445,3.064,,,0,,,Professional Fraternity Council,F19,9/1/2019
Mu Beta Psi,14,4,3.623,3.457,,,0,,,Professional Fraternity Council,F19,9/1/2019
alpha Kappa Delta Phi,23,5,2.97,2.126,232.5,10.1,0,,,Multicultural Greek Council,F19,9/1/2019
Alpha Phi Alpha,9,0,3.035,,82.5,9.1,205,,,Multicultural Greek Council,F19,9/1/2019
Chi Upsilon Sigma,8,5,3.224,3.006,130,16.2,0,,,Multicultural Greek Council,F19,9/1/2019
Delta Epsilon Psi,19,3,2.787,2.38,0,0,0,,,Multicultural Greek Council,F19,9/1/2019
Delta Kappa Delta,17,2,3.259,3.08,285,16.7,0,,,Multicultural Greek Council,F19,9/1/2019
Delta Lambda Phi,10,3,3.031,2.559,0,0,0,,,Multicultural Greek Council,F19,9/1/2019
Delta Phi Omega,16,3,3.018,2.5,437.5,27.3,0,,,Multicultural Greek Council,F19,9/1/2019
Delta Sigma Theta,21,21,3.092,3.092,0,0,0,,,Multicultural Greek Council,F19,9/1/2019
Iota Nu Delta,19,1,3.215,,677,35.6,0,,,Multicultural Greek Council,F19,9/1/2019
Iota Phi Theta,8,7,2.183,2.048,0,0,0,,,Multicultural Greek Council,F19,9/1/2019
Kappa Phi Gammma,17,3,3.338,3.413,423,24.6,0,,,Multicultural Greek Council,F19,9/1/2019
Kappa Phi Lambda,21,5,3.298,3.142,229.7,10.9,0,,,Multicultural Greek Council,F19,9/1/2019
Lambda Pi Chi,7,0,2.934,,0,0,0,,,Multicultural Greek Council,F19,9/1/2019
Lambda Sigma Upsilon,10,5,2.832,2.791,201.5,20,0,,,Multicultural Greek Council,F19,9/1/2019
Delta Sigma Iota,15,4,2.845,2.451,0,0,0,,,Multicultural Greek Council,F19,9/1/2019
Lambda Theta Phi,7,0,2.704,,249,35.5,0,,,Multicultural Greek Council,F19,9/1/2019
Lambda Theta Alpha,7,2,2.424,2,152.5,21.7,0,,,Multicultural Greek Council,F19,9/1/2019
Delta Sigma Pi,75,14,3.552,3.438,,,64,,,Professional Fraternity Council,F19,9/1/2019
Alpha Zeta,48,14,3.301,3.558,1042.5,21.7,230,,,Professional Fraternity Council,F19,9/1/2019
Alpha Phi Omega,83,2,3.361,3.28,3944.5,47.5,1642,,,Professional Fraternity Council,F19,9/1/2019
Zeta Phi Beta,10,0,3.636,,143.5,14.3,543,,,Multicultural Greek Council,F19,9/1/2019
Sigma Psi Zeta,11,0,3.359,,0,0,0,,,Multicultural Greek Council,F19,9/1/2019
Sigma Lambda Upsilon,9,0,3.35,,0,0,0,,,Multicultural Greek Council,F19,9/1/2019
Sigma Sigma Rho,8,1,3.092,,152,19,183.12,,,Multicultural Greek Council,F19,9/1/2019
Sigma Lambda Beta,7,2,3.21,3.155,657,94,0,,,Multicultural Greek Council,F19,9/1/2019
Phi Beta Sigma,7,1,2.25,,0,0,0,,,Multicultural Greek Council,F19,9/1/2019
Omega Phi Chi,4,0,3.409,,0,0,0,,,Multicultural Greek Council,F19,9/1/2019
Nu Alpha Phi,5,0,3.246,,50,10,0,,,Multicultural Greek Council,F19,9/1/2019
Mu Sigma Upsilon,11,0,2.717,,140,12.7,0,,,Multicultural Greek Council,F19,9/1/2019
Lambda Upsilon Lambda,6,0,2.907,,109,18.1,0,,,Multicultural Greek Council,F19,9/1/2019
Sigma Lambda Gamma,8,4,2.935,3,164,20.5,0,,,Multicultural Greek Council,F19,9/1/2019
Chi Phi,95,30,3.566,3.622,147,1.5,9415,91.82,4,Interfraternity Council,S20,1/1/2020
Alpha Delta Phi,20,6,3.476,3.691,24,1.2,3678.91,92.27,4,Interfraternity Council,S20,1/1/2020
Alpha Sigma Phi,66,8,3.616,3.685,0,0,11682.03,60.45,1,Interfraternity Council,S20,1/1/2020
Alpha Phi Delta,17,7,3.436,3.382,0,0,640,50.91,1,Interfraternity Council,S20,1/1/2020
Alpha Kappa Lambda,23,11,3.615,3.55,170,7.4,1876.95,82.73,3,Interfraternity Council,S20,1/1/2020
Alpha Epsilon Pi,71,15,3.716,3.649,258,3.6,16124.42,72.27,2,Interfraternity Council,S20,1/1/2020
Zeta Tau Alpha,148,49,3.673,3.64,72.8,0.5,30206.51,81.36,3,Panhellenic Council,S20,1/1/2020
Delta Gamma,114,38,3.695,3.682,358,3.1,40510.17,83.64,3,Panhellenic Council,S20,1/1/2020
Sigma Delta Tau,149,50,3.667,3.63,1444,9.8,33567.64,91.36,4,Panhellenic Council,S20,1/1/2020
Phi Sigma Sigma,151,49,3.666,3.649,212.5,1.4,40530.76,80.91,3,Panhellenic Council,S20,1/1/2020
Phi Sigma Rho,40,8,3.725,3.819,267.5,6.7,9118.48,83.64,3,Panhellenic Council,S20,1/1/2020
Phi Mu,150,53,3.741,3.71,252,1.7,28872.55,91.36,4,Panhellenic Council,S20,1/1/2020
Omega Phi Alpha,86,29,3.776,3.74,386.5,4.5,17457.11,83.64,3,Panhellenic Council,S20,1/1/2020
Gamma Phi Beta,148,46,3.727,3.7,5,0,50040.16,90.45,4,Panhellenic Council,S20,1/1/2020
Chi Psi,84,16,3.665,3.891,0,0,28437.83,76.36,2,Interfraternity Council,S20,1/1/2020
Sigma Kappa,42,12,3.542,3.553,28,0.7,7926.84,90,4,Panhellenic Council,S20,1/1/2020
Delta Chi,35,14,3.609,3.658,66,1.9,1954.21,69.55,1,Interfraternity Council,S20,1/1/2020
Theta Chi,117,24,3.676,3.655,42,0.4,19781.01,70,2,Interfraternity Council,S20,1/1/2020
Delta Upsilon,55,10,3.577,3.711,201,3.7,20866.33,70,2,Interfraternity Council,S20,1/1/2020
Theta Delta Chi,64,48,3.585,3.604,0,0,0,,,Interfraternity Council,S20,1/1/2020
Alpha Omega Epsilon,52,9,3.815,3.813,116.5,2.2,8458.16,76.36,2,Panhellenic Council,S20,1/1/2020
Tau Kappa Epsilon,54,21,3.527,3.688,0,0,4207.31,,,Interfraternity Council,S20,1/1/2020
Tau Epsilon Phi,22,5,3.464,3.474,12,0.5,50,75,2,Interfraternity Council,S20,1/1/2020
Sigma Pi,23,7,3.595,3.589,0,0,3300.5,32.73,1,Interfraternity Council,S20,1/1/2020
Sigma Beta Rho,16,5,3.553,3.527,6,0.4,0,55.91,1,Interfraternity Council,S20,1/1/2020
Sigma Alpha Mu,47,13,3.7,3.73,7,0.1,1492.83,62.7,1,Interfraternity Council,S20,1/1/2020
Delta Phi,58,31,3.667,3.656,82,1.4,7049,,,Interfraternity Council,S20,1/1/2020
Sigma Alpha Epsilon,53,12,3.54,3.663,91,1.7,12888.99,63.64,1,Interfraternity Council,S20,1/1/2020
Pi Kappa Phi,83,13,3.46,3.503,0,0,6915,44.55,1,Interfraternity Council,S20,1/1/2020
Pi Kappa Alpha,56,0,3.606,,75,1.1,865,15,1,Interfraternity Council,S20,1/1/2020
Phi Sigma Kappa,19,2,3.52,2.934,0,0,2071.3,83.64,3,Interfraternity Council,S20,1/1/2020
Phi Mu Delta,21,4,3.64,3.445,183.5,9.2,2854.23,80.45,3,Interfraternity Council,S20,1/1/2020
Phi Kappa Tau,51,12,3.572,3.554,60,1.2,7506.01,41.82,1,Interfraternity Council,S20,1/1/2020
Phi Kappa Psi,81,27,3.591,3.46,0,0,1213,83.18,3,Interfraternity Council,S20,1/1/2020
Phi Gamma Delta,35,4,3.533,3.635,187,5.3,5910.34,56.82,1,Interfraternity Council,S20,1/1/2020
Pi Lambda Phi,20,0,3.593,,0,0,0,26.82,1,Interfraternity Council,S20,1/1/2020
Alpha Gamma Delta,133,50,3.691,3.682,464,3.5,16044.22,82.27,3,Panhellenic Council,S20,1/1/2020
Sigma Lambda Beta,10,3,3.603,3.742,0,0,0,63.18,1,Multicultural Greek Council,S20,1/1/2020
Phi Sigma Pi,67,15,3.871,3.825,79,1.2,8899.68,87.27,3,Professional Fraternity Council,S20,1/1/2020
Lambda Sigma Upsilon,10,0,3.45,,160.5,16,0,91.36,4,Multicultural Greek Council,S20,1/1/2020
Lambda Pi Chi,20,12,3.579,3.535,74,3.7,0,96.82,4,Multicultural Greek Council,S20,1/1/2020
Kappa Phi Lambda,25,6,3.598,3.391,97,3.9,2094.53,81.82,3,Multicultural Greek Council,S20,1/1/2020
Kappa Phi Gamma,18,5,3.628,3.786,10,0.6,4266.34,53.18,1,Multicultural Greek Council,S20,1/1/2020
Iota Phi Theta,8,0,3.329,,118,14.8,0,,,Multicultural Greek Council,S20,1/1/2020
Iota Nu Delta,23,6,3.661,3.789,6,0.3,1913.86,56.82,1,Multicultural Greek Council,S20,1/1/2020
Delta Sigma Theta,19,0,3.548,,0,0,0,,,Multicultural Greek Council,S20,1/1/2020
Delta Sigma Iota,18,5,3.719,3.607,116.5,6.5,2599.5,70,2,Multicultural Greek Council,S20,1/1/2020
Delta Phi Omega,19,4,3.729,3.697,0,0,1109.39,66.36,1,Multicultural Greek Council,S20,1/1/2020
Delta Lambda Phi,11,2,3.577,3.413,20,1.8,0,65.91,1,Multicultural Greek Council,S20,1/1/2020
Delta Kappa Delta,18,0,3.72,,131,7.7,4043.97,85.45,3,Multicultural Greek Council,S20,1/1/2020
Delta Epsilon Psi,19,2,3.537,3.696,147,7.7,195,76.82,2,Multicultural Greek Council,S20,1/1/2020
Chi Upsilon Sigma,7,0,3.637,,69,9.9,200,85,3,Multicultural Greek Council,S20,1/1/2020
Alpha Phi Alpha,14,6,3.52,3.24,128,9.1,50,85,3,Multicultural Greek Council,S20,1/1/2020
alpha Kappa Delta Phi,21,4,3.641,3.937,21,1,747,80.91,3,Multicultural Greek Council,S20,1/1/2020
Lambda Theta Alpha,10,6,3.64,3.695,60,6,100,86.36,3,Multicultural Greek Council,S20,1/1/2020
Lambda Theta Phi,8,0,3.44,,40,5,1000,76.82,2,Multicultural Greek Council,S20,1/1/2020
Lambda Upsilon Lambda,16,10,3.39,3.277,2,0.1,0,77.27,2,Multicultural Greek Council,S20,1/1/2020
Nu Alpha Phi,17,11,3.514,3.623,99,5.8,0,,,Multicultural Greek Council,S20,1/1/2020
Phi Delta Epsilon,88,17,3.887,3.838,1057,12,9597.41,78.64,2,Professional Fraternity Council,S20,1/1/2020
Phi Delta Chi,78,9,3.697,3.692,49.5,0.6,16141.01,78.18,2,Professional Fraternity Council,S20,1/1/2020
Phi Chi Theta,72,15,3.851,3.871,296.5,4.1,17857.38,76.36,2,Professional Fraternity Council,S20,1/1/2020
Phi Alpha Delta,37,12,3.844,3.74,69,1.9,4854.19,78.18,2,Professional Fraternity Council,S20,1/1/2020
Mu Beta Psi,23,9,3.674,3.495,339,14.7,3923.3,98.18,4,Professional Fraternity Council,S20,1/1/2020
Lambda Kappa Sigma,43,4,3.6,3.663,122.5,2.8,7298.56,89.09,3,Professional Fraternity Council,S20,1/1/2020
Delta Sigma Pi,85,14,3.858,3.904,25,0.3,24829.77,63.64,1,Professional Fraternity Council,S20,1/1/2020
Theta Tau,49,15,3.658,3.636,97.25,2,14356.91,84.09,3,Professional Fraternity Council,S20,1/1/2020
Alpha Zeta,62,15,3.606,3.584,332,5.3,8219.7,92.73,4,Professional Fraternity Council,S20,1/1/2020
Zeta Phi Beta,12,4,3.797,3.746,128,10.6,513,80.45,3,Multicultural Greek Council,S20,1/1/2020
Sigma Psi Zeta,17,5,3.81,3.848,100,5.9,1346.46,88.64,3,Multicultural Greek Council,S20,1/1/2020
Sigma Lambda Upsilon,14,5,3.728,3.635,38,2.7,0,81.36,3,Multicultural Greek Council,S20,1/1/2020
Sigma Lambda Gamma,11,3,3.731,3.763,62,5.6,75,83.64,3,Multicultural Greek Council,S20,1/1/2020
Zeta Beta Tau,46,10,3.575,3.53,395,9.4,9892,76.82,2,Interfraternity Council,S20,1/1/2020
Phi Beta Sigma,4,0,3.47,,0,0,0,61.82,1,Multicultural Greek Council,S20,1/1/2020
Omega Phi Chi,5,1,3.932,,76,15.2,120,87.27,3,Multicultural Greek Council,S20,1/1/2020
Alpha Phi Omega,92,23,3.734,3.712,289.5,3.1,37547.16,55.91,1,Professional Fraternity Council,S20,1/1/2020
Zeta Psi,33,12,3.365,3.488,0,0,0,73.64,2,Interfraternity Council,S20,1/1/2020
Alpha Chi Omega,142,53,3.682,3.684,307,2.1,40660.66,87.73,3,Panhellenic Council,S20,1/1/2020
Alpha Phi Alpha,7,0,3.324,,,,,,,Multicultural Greek Council,F20,9/1/2020
Chi Phi,77,13,3.472,3.293,,,,,,Interfraternity Council,F20,9/1/2020
Alpha Sigma Phi,43,5,3.579,3.48,,,,,,Interfraternity Council,F20,9/1/2020
Alpha Phi Delta,11,0,3.349,,,,,,,Interfraternity Council,F20,9/1/2020
Alpha Kappa Lambda,13,1,3.295,,,,,,,Interfraternity Council,F20,9/1/2020
Alpha Epsilon Pi,52,8,3.696,3.684,,,,,,Interfraternity Council,F20,9/1/2020
Alpha Delta Phi,17,1,3.682,,,,,,,Interfraternity Council,F20,9/1/2020
Zeta Tau Alpha,111,10,3.636,3.212,,,,,,Panhellenic Council,F20,9/1/2020
Sigma Kappa,43,8,3.615,3.446,,,,,,Panhellenic Council,F20,9/1/2020
Sigma Delta Tau,110,0,3.723,,,,,,,Panhellenic Council,F20,9/1/2020
Phi Sigma Sigma,114,5,3.621,3.645,,,,,,Panhellenic Council,F20,9/1/2020
Phi Sigma Rho,35,6,3.634,3.5,,,,,,Panhellenic Council,F20,9/1/2020
Phi Mu,91,0,3.753,,,,,,,Panhellenic Council,F20,9/1/2020
Omega Phi Alpha,61,13,3.773,3.771,,,,,,Panhellenic Council,F20,9/1/2020
Gamma Phi Beta,107,0,3.766,,,,,,,Panhellenic Council,F20,9/1/2020
Delta Gamma,91,10,3.701,3.576,,,,,,Panhellenic Council,F20,9/1/2020
Delta Chi,25,4,3.529,3.49,,,,,,Interfraternity Council,F20,9/1/2020
Delta Phi,42,15,3.571,3.463,,,,,,Interfraternity Council,F20,9/1/2020
Delta Upsilon,29,7,3.578,3.52,,,,,,Interfraternity Council,F20,9/1/2020
Phi Gamma Delta,19,0,3.481,,,,,,,Interfraternity Council,F20,9/1/2020
alpha Kappa Delta Phi,21,0,3.6,,,,,,,Multicultural Greek Council,F20,9/1/2020
Zeta Beta Tau,26,0,3.575,,,,,,,Interfraternity Council,F20,9/1/2020
Theta Delta Chi,30,0,3.495,,,,,,,Interfraternity Council,F20,9/1/2020
Theta Chi,103,10,3.586,3.407,,,,,,Interfraternity Council,F20,9/1/2020
Tau Kappa Epsilon,48,0,3.412,,,,,,,Interfraternity Council,F20,9/1/2020
Tau Epsilon Phi,11,3,3.324,3.315,,,,,,Interfraternity Council,F20,9/1/2020
Sigma Pi,22,5,3.618,3.631,,,,,,Interfraternity Council,F20,9/1/2020
Alpha Omega Epsilon,59,19,3.764,3.585,,,,,,Panhellenic Council,F20,9/1/2020
Sigma Beta Rho,14,2,3.537,3.772,,,,,,Interfraternity Council,F20,9/1/2020
Sigma Alpha Epsilon,46,11,3.494,3.525,,,,,,Interfraternity Council,F20,9/1/2020
Pi Kappa Phi,68,5,3.463,3.63,,,,,,Interfraternity Council,F20,9/1/2020
Pi Kappa Alpha,47,0,3.598,,,,,,,Interfraternity Council,F20,9/1/2020
Phi Sigma Kappa,13,4,3.416,3.388,,,,,,Interfraternity Council,F20,9/1/2020
Phi Mu Delta,12,2,3.732,3.573,,,,,,Interfraternity Council,F20,9/1/2020
Phi Kappa Tau,53,4,3.529,3.377,,,,,,Interfraternity Council,F20,9/1/2020
Phi Kappa Psi,31,0,3.543,,,,,,,Interfraternity Council,F20,9/1/2020
Sigma Alpha Mu,36,13,3.702,3.705,,,,,,Interfraternity Council,F20,9/1/2020
Alpha Gamma Delta,111,4,3.696,3.81,,,,,,Panhellenic Council,F20,9/1/2020
Chi Psi,60,0,3.653,,,,,,,Interfraternity Council,F20,9/1/2020
Alpha Chi Omega,110,0,3.689,,,,,,,Panhellenic Council,F20,9/1/2020
Nu Alpha Phi,7,2,3.486,3.5,,,,,,Multicultural Greek Council,F20,9/1/2020
Lambda Upsilon Lambda,11,0,3.464,,,,,,,Multicultural Greek Council,F20,9/1/2020
Lambda Theta Phi,9,4,3.388,3.458,,,,,,Multicultural Greek Council,F20,9/1/2020
Lambda Theta Alpha,9,3,3.431,3.675,,,,,,Multicultural Greek Council,F20,9/1/2020
Lambda Sigma Upsilon,7,0,3.402,,,,,,,Multicultural Greek Council,F20,9/1/2020
Lambda Pi Chi,15,0,3.263,,,,,,,Multicultural Greek Council,F20,9/1/2020
Kappa Phi Gammma,20,5,3.635,3.288,,,,,,Multicultural Greek Council,F20,9/1/2020
Omega Phi Chi,3,1,3.525,,,,,,,Multicultural Greek Council,F20,9/1/2020
Iota Phi Theta,8,0,2.768,,,,,,,Multicultural Greek Council,F20,9/1/2020
Delta Sigma Theta,6,0,3.324,,,,,,,Multicultural Greek Council,F20,9/1/2020
Delta Sigma Iota,19,4,3.606,3.5,,,,,,Multicultural Greek Council,F20,9/1/2020
Delta Phi Omega,20,8,3.687,3.545,,,,,,Multicultural Greek Council,F20,9/1/2020
Delta Lambda Phi,4,0,3.689,,,,,,,Multicultural Greek Council,F20,9/1/2020
Delta Kappa Delta,11,4,3.623,3.371,,,,,,Multicultural Greek Council,F20,9/1/2020
Delta Epsilon Psi,8,0,3.628,,,,,,,Multicultural Greek Council,F20,9/1/2020
Zeta Psi,31,5,3.388,3.36,,,,,,Interfraternity Council,F20,9/1/2020
Iota Nu Delta,14,0,3.744,,,,,,,Multicultural Greek Council,F20,9/1/2020
Phi Beta Sigma,1,0,,,,,,,,Multicultural Greek Council,F20,9/1/2020
Kappa Phi Lambda,24,0,3.698,,,,,,,Multicultural Greek Council,F20,9/1/2020
Theta Tau,52,10,3.781,3.81,,,,,,Professional Fraternity Council,F20,9/1/2020
Sigma Lambda Beta,3,0,3.708,,,,,,,Multicultural Greek Council,F20,9/1/2020
Phi Sigma Pi,59,15,3.762,3.795,,,,,,Professional Fraternity Council,F20,9/1/2020
Phi Delta Epsilon,69,9,3.804,3.777,,,,,,Professional Fraternity Council,F20,9/1/2020
Phi Delta Chi,75,14,3.808,3.838,,,,,,Professional Fraternity Council,F20,9/1/2020
Phi Chi Theta,70,12,3.84,3.684,,,,,,Professional Fraternity Council,F20,9/1/2020
Phi Alpha Delta,47,23,3.758,3.684,,,,,,Professional Fraternity Council,F20,9/1/2020
Mu Beta Psi,21,6,3.468,3.451,,,,,,Professional Fraternity Council,F20,9/1/2020
Lambda Kappa Sigma,44,11,3.667,3.652,,,,,,Professional Fraternity Council,F20,9/1/2020
Chi Upsilon Sigma,8,3,3.568,3.811,,,,,,Multicultural Greek Council,F20,9/1/2020
Alpha Zeta,56,13,3.668,3.672,,,,,,Professional Fraternity Council,F20,9/1/2020
Alpha Phi Omega,60,0,3.754,,,,,,,Professional Fraternity Council,F20,9/1/2020
Zeta Phi Beta,6,0,3.5,,,,,,,Multicultural Greek Council,F20,9/1/2020
Sigma Sigma Rho,2,0,3.896,,,,,,,Multicultural Greek Council,F20,9/1/2020
Sigma Psi Zeta,16,5,3.697,3.705,,,,,,Multicultural Greek Council,F20,9/1/2020
Sigma Lambda Upsilon,6,0,3.673,,,,,,,Multicultural Greek Council,F20,9/1/2020
Sigma Lambda Gamma,8,2,3.728,3.694,,,,,,Multicultural Greek Council,F20,9/1/2020
Delta Sigma Pi,76,11,3.805,3.737,,,,,,Professional Fraternity Council,F20,9/1/2020
Omega Phi Chi,5,2,3.889,3.78,0,0,0,77.27,,Multicultural Greek Council,S21,1/1/2021
Phi Beta Sigma,3,2,2.794,2.714,0,0,0,60.23,,Multicultural Greek Council,S21,1/1/2021
Sigma Lambda Beta,5,2,3.532,3.368,0,0,0,54.55,,Multicultural Greek Council,S21,1/1/2021
Sigma Lambda Gamma,9,2,3.704,3.5,0,0,100,93.18,,Multicultural Greek Council,S21,1/1/2021
Sigma Lambda Upsilon,6,0,3.645,,0,0,0,75,,Multicultural Greek Council,S21,1/1/2021
Sigma Psi Zeta,19,3,3.702,3.792,0,0,792,90.91,,Multicultural Greek Council,S21,1/1/2021
Zeta Phi Beta,11,5,3.042,2.525,0,0,0,87.5,,Multicultural Greek Council,S21,1/1/2021
Lambda Kappa Sigma,58,12,3.605,3.542,0,0,577,88.64,,Professional Fraternity Council,S21,1/1/2021
Alpha Zeta,74,19,3.637,3.497,0,0,1533,97.73,,Professional Fraternity Council,S21,1/1/2021
Delta Sigma Pi,83,15,3.745,3.724,0,0,2974,81.82,,Professional Fraternity Council,S21,1/1/2021
Mu Beta Psi,24,3,3.619,3.613,0,0,720,93.18,,Professional Fraternity Council,S21,1/1/2021
Phi Alpha Delta,61,18,3.789,3.735,0,0,2592,81.82,,Professional Fraternity Council,S21,1/1/2021
Phi Chi Theta,81,12,3.779,3.836,0,0,9811,94.45,,Professional Fraternity Council,S21,1/1/2021
Phi Delta Chi,75,0,3.633,,0,0,4280,75,,Professional Fraternity Council,S21,1/1/2021
Nu Alpha Phi,6,1,3.191,,0,0,466,84.09,,Multicultural Greek Council,S21,1/1/2021
Alpha Phi Omega,74,27,3.666,3.664,1286,17.4,10690,88.64,,Professional Fraternity Council,S21,1/1/2021
Phi Delta Epsilon,83,14,3.804,3.788,6,0.1,2477,96.59,,Professional Fraternity Council,S21,1/1/2021
alpha Kappa Delta Phi,29,8,3.691,3.755,0,0,980,88.64,,Multicultural Greek Council,S21,1/1/2021
Lambda Theta Phi,9,0,3.375,,0,0,100,43.18,,Multicultural Greek Council,S21,1/1/2021
Phi Sigma Pi,70,18,3.804,3.767,20,0.3,2015,90.91,,Professional Fraternity Council,S21,1/1/2021
Alpha Phi Alpha,7,0,2.99,,29,4.1,0,81.82,,Multicultural Greek Council,S21,1/1/2021
Chi Upsilon Sigma,7,1,3.55,,0,0,0,90.91,,Multicultural Greek Council,S21,1/1/2021
Delta Epsilon Psi,16,9,3.337,3.213,0,0,0,31.82,,Multicultural Greek Council,S21,1/1/2021
Delta Kappa Delta,16,4,3.538,3.416,0,0,0,38.64,,Multicultural Greek Council,S21,1/1/2021
Delta Lambda Phi,3,0,3.744,,0,0,0,75,,Multicultural Greek Council,S21,1/1/2021
Delta Phi Omega,22,3,3.654,3.863,136,6.2,400,97.73,,Multicultural Greek Council,S21,1/1/2021
Lambda Upsilon Lambda,18,6,3.319,3.379,0,0,0,82.95,,Multicultural Greek Council,S21,1/1/2021
Delta Sigma Iota,25,7,3.623,3.766,0,0,367,81.82,,Multicultural Greek Council,S21,1/1/2021
Iota Nu Delta,19,7,3.621,3.515,100,5.3,3889,81.82,,Multicultural Greek Council,S21,1/1/2021
Iota Phi Theta,9,1,2.901,,,0,0,55.68,,Multicultural Greek Council,S21,1/1/2021
Kappa Phi Gamma,19,4,3.636,3.746,444,23.4,2217,85.23,,Multicultural Greek Council,S21,1/1/2021
Kappa Phi Lambda,32,12,3.649,3.785,15,0.5,1309,97.73,,Multicultural Greek Council,S21,1/1/2021
Lambda Pi Chi,16,3,3.564,3.666,8,0.5,9500,84.09,,Multicultural Greek Council,S21,1/1/2021
Lambda Sigma Upsilon,16,9,3.59,3.711,12,0.8,379,88.64,,Multicultural Greek Council,S21,1/1/2021
Lambda Theta Alpha,11,4,3.506,3.47,60,5.5,1300,93.18,,Multicultural Greek Council,S21,1/1/2021
Delta Sigma Theta,14,7,3.428,3.276,4,0.3,0,82.95,,Multicultural Greek Council,S21,1/1/2021
Theta Tau,60,7,3.73,3.761,0,0,1201,97.73,,Professional Fraternity Council,S21,1/1/2021
Delta Phi,60,17,3.414,3.323,0,0,686,52.27,,Interfraternity Council,S21,1/1/2021
Alpha Gamma Delta,133,42,3.645,3.675,0,0,9337,88.64,,Panhellenic Council,S21,1/1/2021
Phi Kappa Psi,57,4,3.66,3.76,0,0,1150,93.18,,Interfraternity Council,S21,1/1/2021
Phi Kappa Tau,55,6,3.508,3.405,0,0,8218,63.64,,Interfraternity Council,S21,1/1/2021
Phi Mu Delta,17,5,3.48,3.57,0,0,0,90.91,,Interfraternity Council,S21,1/1/2021
Phi Sigma Kappa,18,6,3.569,3.613,0,0,0,70.45,,Interfraternity Council,S21,1/1/2021
Pi Kappa Phi,76,14,3.438,3.385,0,0,4060,46.59,,Interfraternity Council,S21,1/1/2021
Sigma Alpha Epsilon,45,9,3.5,3.521,0,0,78,64.77,,Interfraternity Council,S21,1/1/2021
Sigma Alpha Mu,36,6,3.585,3.563,0,0,400,71.59,,Interfraternity Council,S21,1/1/2021
Sigma Beta Rho,18,5,3.375,3.626,0,0,0,84.09,,Interfraternity Council,S21,1/1/2021
Sigma Chi,9,9,3.685,3.685,0,0,0,,,Interfraternity Council,S21,1/1/2021
Sigma Pi,21,1,3.494,,80,3.8,1000,72.73,,Interfraternity Council,S21,1/1/2021
Tau Epsilon Phi,6,1,3.051,,0,0,0,65.91,,Interfraternity Council,S21,1/1/2021
Theta Chi,96,13,3.562,3.56,0,0,7778,54.55,,Interfraternity Council,S21,1/1/2021
Theta Delta Chi,36,0,3.416,,0,0,0,38.64,,Interfraternity Council,S21,1/1/2021
Zeta Beta Tau,19,3,3.523,3.111,0,0,647,84.09,,Interfraternity Council,S21,1/1/2021
Alpha Chi Omega,142,42,3.662,3.578,0,0,9625,100,,Panhellenic Council,S21,1/1/2021
Phi Gamma Delta,24,3,3.421,3.338,0,0,0,54.55,,Interfraternity Council,S21,1/1/2021
Delta Upsilon,30,0,3.549,,0,0,140,69.32,,Interfraternity Council,S21,1/1/2021
Zeta Psi,26,3,3.362,3.192,0,0,0,77.27,,Interfraternity Council,S21,1/1/2021
