Chapter,Total Chapter Size,New Member Class Size,Total Chapter GPA,New Member GPA,Total Service Hours,Average Hours Per Member,Charitable Donations,Annual Report Score,Star Ranking,Chapter Type,Semester,simulated_dates
Alpha Phi Delta,21,,2.977,2.65,242,11.5,3008,77,2,Interfraternity Council,S17,1/1/2017
Alpha Sigma Phi,51,,3.032,2.822,670,13.1,13848.85,67,0,Interfraternity Council,S17,1/1/2017
Beta Chi Theta,22,,3.01,,0,0,0,31,0,Interfraternity Council,S17,1/1/2017
Chi Phi,46,,3.107,3.038,404,8.8,7135,,,Interfraternity Council,S17,1/1/2017
Chi Psi,71,,3.32,3.335,1312,18.5,55363.54,94,4,Interfraternity Council,S17,1/1/2017
Delta Lambda Phi,11,,2.974,3.291,80,7.3,0,76,2,Interfraternity Council,S17,1/1/2017
Phi Mu Delta,26,,3.325,2.859,496.25,19.1,3810.18,95,4,Interfraternity Council,S17,1/1/2017
Delta Phi,14,,3.037,3.492,136,9.7,2642.9,72,2,Interfraternity Council,S17,1/1/2017
Delta Sigma Phi,21,,2.843,2.614,162,7.7,996,83,3,Interfraternity Council,S17,1/1/2017
Delta Upsilon,81,,3.273,3.077,3019,37.3,40602.13,95,4,Interfraternity Council,S17,1/1/2017
Kappa Delta Rho,27,,2.995,3.019,262,9.7,1552.43,61,0,Interfraternity Council,S17,1/1/2017
Kappa Sigma,75,,3.134,2.979,1227,16.4,4736.31,86,3,Interfraternity Council,S17,1/1/2017
Phi Delta Theta,89,,2.915,2.924,1276.5,14.3,12469.92,93,4,Interfraternity Council,S17,1/1/2017
Phi Gamma Delta,25,,3.109,3.049,335,13.4,5206,79,2,Interfraternity Council,S17,1/1/2017
Phi Kappa Psi,80,,3.253,3.227,504.5,6.3,40214.28,61,0,Interfraternity Council,S17,1/1/2017
Phi Kappa Sigma,72,,2.967,2.873,753,10.5,29120,46,0,Interfraternity Council,S17,1/1/2017
Delta Sigma Iota,24,,2.993,,456,19,9486.39,87,3,Interfraternity Council,S17,1/1/2017
Iota Nu Delta,22,,2.805,2.585,202,9.2,200,67,0,Multicultural Greek Council,S17,1/1/2017
Alpha Kappa Lambda,15,,2.96,2.96,0,0,0,,,Interfraternity Council,S17,1/1/2017
Kappa Phi Gamma,27,,2.946,2.574,533,19.7,0,82,3,Multicultural Greek Council,S17,1/1/2017
Phi Sigma Sigma,172,,3.292,3.143,1770,10.3,62635.6,90,4,Panhellenic Council,S17,1/1/2017
Sigma Delta Tau,167,,3.22,3.12,1140,6.8,53505.41,77,2,Panhellenic Council,S17,1/1/2017
Sigma Kappa,127,,3.352,2.992,1958,15.4,37369.18,88,3,Panhellenic Council,S17,1/1/2017
Zeta Tau Alpha,162,,3.291,3,1608,9.9,28023.35,93,4,Panhellenic Council,S17,1/1/2017
Alpha Kappa Psi,109,,3.195,3.117,381,3.5,16300,48,0,Professional Fraternity Council,S17,1/1/2017
Alpha Phi Omega,144,,3.142,3.091,3370.25,23.4,18897.07,73,2,Professional Fraternity Council,S17,1/1/2017
Alpha Zeta,98,,3.277,3.153,1199.5,12.2,15411.55,71,2,Professional Fraternity Council,S17,1/1/2017
Alpha Zeta Omega,93,,3.257,3.296,1004,10.8,38148.5,89,3,Professional Fraternity Council,S17,1/1/2017
Phi Mu,155,,3.321,3.362,3421,22.1,28117.63,75,2,Panhellenic Council,S17,1/1/2017
Delta Sigma Pi,93,,3.512,3.135,639,6.9,18941.69,87,3,Professional Fraternity Council,S17,1/1/2017
